run_id,run_date,course,unit,source_label,source_date,source_hash,roster_students,identified_submissions,unresolved_packets,evidence_events,report_number,status
PHYS-U1-PORTFOLIO-20260913-R1,2026-09-13,Physics,1,First Check,2026-09-11,3348b07a95ec5b160a5c9ad8f3ef53e0f7cce2fdd8e44e8e272f64a5efa97452,10,7,1,21,1,COMPLETED_PENDING_DRIVE_VERIFY
PHYS-U1-PORTFOLIO-20260913-R1-C1,2026-09-14,Physics,1,First Check,2026-09-11,3348b07a95ec5b160a5c9ad8f3ef53e0f7cce2fdd8e44e8e272f64a5efa97452,10,8,0,24,1,IDENTITY_CORRECTION_COMPLETED
PHYS-U1-PORTFOLIO-20260917-R2,2026-09-17,Physics,1,Quick Check ReAssess,2026-09-17,cb3644cd130bcda3b950fae77b221b9f9486c4aaaa55d7d783364ea09568f24d,10,9,0,29,2,COMPLETED
PHYS-U1-PORTFOLIO-20260923-R3,2026-09-23,Physics,1,Sub Assignment,2026-09-22,53a7888f74be14ea75e71e52e7c9babcde20922684dc03996ac6870ec058b918,10,9,0,27,3,INCOMPLETE_REPORT_PRINT_QA
